0.0    0.97
0.9    0.70
1.0    0.43
1.0    0.41
1.4    0.30
1.5    0.25
1.6    0.22
1.65   0.20
2.70   0.18
3.30   0.175
5.00   0.16
0.65   0.11
7.75   0.10
8.65   0.06
10.0   0.04
22.2   0.03
23.8   0.04
23.8   0.03
23.8   0.01
26.65  0.025
27.5   0.015
31.65  0.015
32.75  0.015
36.65  0.015
46.0   0.015
51.65  0.015
52.75  0.015
54.4   0.01
54.4   .015
54.4   0.02
54.4   0.16
54.4   0.22
54.4   0.43
54.4   0.59
54.4   0.70
54.4   0.73
55.5   0.74
57.7   0.74
60.0   0.74
60.0   0.735
62.75  0.735
70.5   0.71
73.3   0.71
76.65  0.71
