   1.1           .98
   1.2           .82
   1.3           .5
   1.4           .37
   1.7           .30
   2.2           .27 
   3.0           .25
   4.0           .23
   5.0           .205
   6.0           .2
   7.5           .19
   10.           .19
   22.5          .19
   22.5          .20
   27.0          .18
   27.0          .19
   32.5          .19
   37.0          .19
   47.0          .18
   52.0          .18
   52.0          .19
   54.0          .19
   54.0          .39
   54.0          .60
   54.0          .77
   54.2          .81
   55.0          .82
   55.0          .81
   55.5          .83
   56.5          .81
   57.5          .81
   57.5          .82
   60.0          .81
   62.5          .80
   62.5          .81
   71.0          .81
   74.0          .81
   74.0          .80
   77.0          .81
   77.0          .80 
