1.65      1.0
1.75      0.68
2.4       0.65
3.4       0.64
5.55      0.63
6.65      0.63
8.3       0.63
11.1      0.63
11.1      0.61
22.4      0.59
26.65     0.59
26.65     0.56
32.2      0.56
36.65     0.56
46.3      0.56
53.3      0.56
53.3      0.59
53.3      0.63
53.3      0.65
53.3      0.80
53.3      0.85
54.4      0.86
55.5      0.85
57.75     0.85
57.75     0.84
60.0      0.84
60.0      0.85
63.3      0.85
71.1      0.85
71.1      0.86
71.1      0.84
74.4      0.85
77.2      0.85
77.2      0.84
